Author,Title,Year,Category
Lars Ahlin,Min död är min,1945,kanon_publ
Lars Ahlin,"Kvinna, kvinna",1955,kanon_publ
Tage Aurell,Tybergs gård,1932,kanon
Tage Aurell,Till och från Högåsen,1934,kanon
Tage Aurell,Martina,1937,kanon
Hjalmar Bergman,Markurells i Wadköping,1919,kanon_publ
Hjalmar Bergman,Chefen fru Ingeborg,1924,kanon_publ
Hjalmar Bergman,Clownen Jac,1930,kanon_publ
Karin Boye,Astarte,1931,kanon
Karin Boye,Merit vaknar,1933,kanon
Karin Boye,Kris,1934,kanon
Karin Boye,För lite,1936,kanon
Stig Dagerman,De dömdas ö,1946,kanon
Jan Fridegård,Jag Lars Hård,1935,kanon_publ
Jan Fridegård,Barmhärtighet,1936,kanon_publ
Jan Fridegård,Tack för himlastegen,1936,kanon_publ
Olle Hedberg,Fria på narri,1933,kanon_publ
Olle Hedberg,Iris och löjtnantshjärta,1934,kanon_publ
Olle Hedberg,Slå dank,1944,kanon_publ
Gustaf Hellström,Dagdrömmar,1921,kanon_publ
Gustaf Hellström,Snörmakare Lekholm får en idé,1927,kanon_publ
Gustaf Hellström,Den gången,1944,kanon_publ
Martin Koch,Ellen,1911,kanon
Martin Koch,Arbetare,1912,kanon
Martin Koch,Guds vackra värld I–II,1916,kanon
Agnes von Krusenstjerna,Kvinnogatan,1930,kanon_publ
Agnes von Krusenstjerna,Höstens skuggor,1931,kanon_publ
Agnes von Krusenstjerna,Porten vid Johannes,1933,kanon_publ
Selma Lagerlöf,Körkarlen,1912,kanon_publ
Selma Lagerlöf,Kejsarn av Portugallien,1914,kanon_publ
Selma Lagerlöf,Löwensköldska ringen,1925,kanon_publ
Ivar Lo-Johansson,"Godnatt, jord",1933,kanon_publ
Ivar Lo-Johansson,Kungsgatan,1935,kanon_publ
Hagar Olsson,Kvinnan och nåden,1919,kanon
Hagar Olsson,På Kanaanexpressen,1929,kanon
Hagar Olsson,Chitambo,1933,kanon
Sven Edvin Salje,På dessa skuldror,1942,publik
Sven Edvin Salje,Människors rike,1944,publik
Sven Edvin Salje,Vingslag i natten,1948,publik
Sven Edvin Salje,Den söker icke sitt,1953,publik
Arne Sand,Trollkarlens lärling,1959,kanon
Arne Sand,Väderkvarnarna,1962,kanon
Arne Sand,Enhörningarna,1965,kanon
Maria Sandel,Familjen Vinge,1913,kanon
Maria Sandel,Virveln,1913,kanon
Maria Sandel,Hexdansen,1919,kanon
Sigfrid Siwertz,Mälarpirater,1911,kanon_publ
Birger Sjöberg,Kvartetten som sprängdes,1924,kanon_publ
Hjalmar Söderberg,Den allvarsamma leken,1912,kanon_publ
Elin Wägner,Pennskaftet,1910,kanon_publ